INC_CRC|BUSINESS_NAME|LATITUDE|LONGITUDE|LIC_NAME|STR_NAME|UNIT_NO|POSTCODE|LEVEL_NO
6FA14DE49C76E36A|CANTON PARADISE PTE LTD|103.85830838681|1.28233336454775|CANTON PARADISE PTE. LTD.|BAYFRONT AVENUE|2|18956|1
788B7E5B7FA8A2AC|PHO-LOSOPHY|103.851103466005|1.27900797406852|PHOLOSOPHY PTE. LTD.|MARINA VIEW|14|18960|2
788B7E5BAEA7E185|TOASTBOX|103.851103466005|1.27900797406852|BREADTALK PTE LTD|MARINA VIEW|6|18960|2
788B7E5B576248DB|FRESH +|103.851103466005|1.27900797406852|ARTEMIS FINE FOODS A.S. PTE LTD|MARINA VIEW|11|18960|2
788B7E5B246F96A4|IMPERIAL TREASURE CANTONESE CUISINE PTE. LTD.|103.851103466005|1.27900797406852|IMPERIAL TREASURE CANTONESE CUISINE PTE. LTD.|MARINA VIEW||18960|
788B7E5B3119DB2C|SO GOOD BAKERY|103.851103466005|1.27900797406852|SO GOOD BAKERY PTE. LTD.|MARINA VIEW|18|18960|2
788B7E5B426A8D71|ORCHARD FRESH|103.851103466005|1.27900797406852|SATOYU TRADING PTE LTD|MARINA VIEW|12|18960|2
788B7E5B110F7441|THE SOUP SPOON|103.851103466005|1.27900797406852|THE SOUP SPOON PTE LTD|MARINA VIEW|13|18960|2
788B7E5B0DA80967|THE EXCHANGE|103.851103466005|1.27900797406852|THE EXCHANGE ASIA SQUARE PTE LTD|MARINA VIEW|5|18960|1
788B7E5B1D13A558|MANNA KOREA|103.851103466005|1.27900797406852|EUN HYE PTE. LTD.|MARINA VIEW|17|18960|2
788B7E5B5422A564|COMPASS GROUP (SINGAPORE) PTE. LTD.|103.851103466005|1.27900797406852|COMPASS GROUP (SINGAPORE) PTE. LTD.|MARINA VIEW||18960|
788B7E5BC273FCBB|EXTRA VIRGIN PIZZA PTE. LTD.|103.851103466005|1.27900797406852|EXTRA VIRGIN PIZZA PTE. LTD.|MARINA VIEW|4|18960|1
788B7E5B7E35D9F8|TEPPEI SYOKUDO|103.851103466005|1.27900797406852|YCP DINING SINGAPORE PTE. LTD.|MARINA VIEW|5|18960|2
788B7E5BD32343D5|ROLLIE OLIE|103.851103466005|1.27900797406852|HAN HOLDING COMPANY PTE. LTD.|MARINA VIEW|3/4|18960|2
C03E4F08CD32D213|SUBWAY|103.850795182002|1.2783073032032|ZION REMNANT PTE. LTD.|MARINA VIEW|7|18961|2
C03E4F082B740E32|THE HERBAL BAR|103.850795182002|1.2783073032032|SUPPAGOOD PRIVATE LIMITED|MARINA VIEW|13|18961|2
C03E4F0868F4CD49|RED MANGO|103.850795182002|1.2783073032032|PASSIONAIRE LLP|MARINA VIEW|14|18961|2
C03E4F08FCF34BC9|LiHo|103.850795182002|1.2783073032032|ROYAL T GROUP PTE. LTD.|MARINA VIEW|8|18961|2
C03E4F0833D6038A|PEPPER LUNCH EXPRESS|103.850795182002|1.2783073032032|SFBI (ASIA-PACIFIC) PTE. LTD.|MARINA VIEW|3|18961|2
C03E4F088D9B36AB|GUZMAN Y GOMEZ MEXICAN TAQUERIA|103.850795182002|1.2783073032032|MEXICAN FOOD CORP PTE. LTD.|MARINA VIEW|11/12|18961|2
C03E4F08BD31C54E|STARBUCKS COFFEE|103.850795182002|1.2783073032032|STARBUCKS COFFEE SINGAPORE PTE. LTD.|MARINA VIEW|22|18961|2
C03E4F08028D7FA3|IPPUDO RAMEN EXPRESS|103.850795182002|1.2783073032032|IPPUDO SINGAPORE PTE. LTD.|MARINA VIEW|1|18961|2
C03E4F08340E0E1D|BOOST JUICE BARS|103.850795182002|1.2783073032032|LOVELIFE VENTURES PTE. LTD.|MARINA VIEW|9|18961|2
C03E4F08AF22B29A|Ho Heng Food & Enterprise|103.850795182002|1.2783073032032|HO HENG FOOD & ENTERPRISE PTE. LTD.|MARINA VIEW|4|18961|2
C03E4F08CFE81A19|TAO SEAFOOD ASIA|103.850795182002|1.2783073032032|TAO SEAFOOD ASIA (PTE LTD)|MARINA VIEW|10/15|18961|2
C03E4F08E472D8F9|ARTISAN BOULANGERIE COMPAGNIE|103.850795182002|1.2783073032032|ARTISAN BOULANGERIE COMPAGNIE PTE. LTD.|MARINA VIEW|2|18961|1
C03E4F08B7C96DF1|TATSU|103.850795182002|1.2783073032032|TATSU SUSHI (S) PTE LTD|MARINA VIEW|16|18961|2
C03E4F08BFC5A8C8|63 CELSIUS|103.850795182002|1.2783073032032|FOODBAR ASIA SQUARE PTE LTD|MARINA VIEW|3|18961|1
C03E4F08AB589E75|ATTAP HOUSE|103.850795182002|1.2783073032032|FOODNATION PTE. LTD.|MARINA VIEW|6|18961|2
C03E4F081FF19602|AP|103.850795182002|1.2783073032032|AP HOUSE PTE. LTD.|MARINA VIEW|6/8|18961|1
8845B3D7E56F7D66|MUNCH|103.852840444938|1.27944620032537|JEX GLOBAL PTE LTD|CENTRAL BOULEVARD|4|18969|B1
BB100B0D5BF0301A|TEAM DINING ROOM|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D8793789E|Rise Restaurant|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DA8D1E340|RENKU|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DEA5D46AF|ADRIFT|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D7FEC405C|THE NEST|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D7343B689|TONG DIM|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D01B3FA27|PAIZA DINING ROOM|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D4B3D25F2|PAIZAL LOUNGE|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DA52B7F92|SWEET SPOT|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D04F79DBD|RUBY LOUNGE|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DBDC23DE8|TETSUYA|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE|1|18971|2
BB100B0DA8079B35|FATT CHOY EXPRESS|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D45F1E2F8|IN ROOM DINING|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DF5635E52|SERVICE PANTRY 1|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D2C723E8E|SERVICE PANTRY 5|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D1974B78C|SERVICE PANTRY 6|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DA6C2C0E7|SERVICE PANTRY 2|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D3D36B387|SERVICE PANTRY 3|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D6F6C3130|SERVICE PANTRY 4|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DE80CA288|MICE KITCHEN|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE|4|18971|B
BB100B0DD3FF9D09|MICE KITCHEN|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DEAE406D6|MICE SERVICE PANTRY 1|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D5EC7EAF3|MICE SERVICE PANTRY 2|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D7CAD7C98|MICE SERVICE PANTRY 3|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DCDDDC739|MICE KITCHEN|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DD7A4A4F8|MICE KITCHEN PANTRY 4|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D794A5EFB|7 ELEVEN|103.860220227322|1.28258337118494|COLD STORAGE SINGAPORE (1983) PTE LTD|BAYFRONT AVENUE|1|18971|B2
BB100B0D43CE02BE|NORTH PANTRY|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DA3EA382E|CUT RESTAURANT|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DE0789C00|DANIEL BOULUD|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE|48|18971|B1
BB100B0DBE2D2E88|NOSTRA CUCINA|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE|42|18971|B1
BB100B0DF462D0CF|SERVICE PANTRY 7|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D138E6DBC|LAVO|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DE7975A0E|CLV KIOSK|103.860220227322|1.28258337118494|ICONIC LOCATIONS SINGAPORE PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D64B3DA91|FOOD COUNTER 1|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DCB1D9F1E|CE LA VI|103.860220227322|1.28258337118494|ICONIC LOCATIONS SINGAPORE PTE. LTD.|BAYFRONT AVENUE|1/2|18971|57
BB100B0D6AF7EBA4|SWEET SPOT MOBILE CART|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DF6A6B690|GRAND THRATRE 1|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0DA290FDE8|MARINA BAY SANDS PTE. LTD.|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE||18971|
BB100B0D18D377D2|MARINA BAY SANDS|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE|0|18971|2
BB100B0DDFD7D48B|MARINA BAY SANDS|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE|0|18971|2
BB100B0D2BBC87FE|SPAGO|103.860220227322|1.28258337118494|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE|0|18971|57
80E8DB7489C0B44F|Rasapura`s Master|103.858505749339|1.28355872540745|KOUFU PTE LTD|BAYFRONT AVENUE|49/53|18972|B2
80E8DB747A990C4B|NYONYA CUISINE|103.858505749339|1.28355872540745|HOME KITCHEN PTE. LTD.|BAYFRONT AVENUE|49/53|18972|B2
80E8DB7483F31861|PRAWN NOODLES|103.858505749339|1.28355872540745|TUNG YANG WEE ARTHUR|BAYFRONT AVENUE|49/53|18972|B2
80E8DB74EDEAD112|THE BIRD SOUTHERN TABLE & BAR|103.858505749339|1.28355872540745|MARINA BAY SANDS PTE. LTD.|BAYFRONT AVENUE|7|18972|B1
5E27DE20CF02F973|DEJA BREW PTE LTD|103.849576397545|1.27582919669871|DEJA BREW PTE. LTD.|STRAITS BOULEVARD|2|18906|1
2E1EACEB7FD44C14||103.860075470498|1.27368177722544|KAMPONG CORNER PTE. LTD.|CENTRAL BOULEVARD||18915|
991B4FCD5C551194|BAJA FRESH MEXICAN GRILL|103.852844804264|1.27737236043423|GLORIA FOODS PTE. LTD.|STRAITS VIEW|37|18935|B2
991B4FCDC703158F|NUDE GRILL + CHILL|103.852844804264|1.27737236043423|FLOC PRIVATE LIMITED|STRAITS VIEW|22|18935|1
991B4FCD31CE15A6|KOUFU PTE LTD|103.852844804264|1.27737236043423|KOUFU PTE LTD|STRAITS VIEW|4/6|18935|2
991B4FCD008D0C5C|YONG TAU FOO|103.852844804264|1.27737236043423|TING YEE WAH|STRAITS VIEW|4/6|18935|2
991B4FCD5C1824DB|PENYET KING|103.852844804264|1.27737236043423|GLOBAL RASA PTE. LTD.|STRAITS VIEW|4/6|18935|2
991B4FCD532162B4|NASI PADANG|103.852844804264|1.27737236043423|BOON TAT CATERING & SUPPLY PTE. LTD.|STRAITS VIEW|4/6|18935|2
991B4FCD406B1CEB|PEPPER LUNCH EXPRESS|103.852844804264|1.27737236043423|SFBI (ASIA-PACIFIC) PTE. LTD.|STRAITS VIEW|4/6|18935|2
991B4FCDAFF4BDC3|KOREAN & JAPANESE|103.852844804264|1.27737236043423|YAO ZHIQING|STRAITS VIEW|4/6|18935|2
991B4FCDD292E5A4|BAN MIAN|103.852844804264|1.27737236043423|SHUANG LONG FOOD ENTERPRISE PTE. LTD.|STRAITS VIEW|4/6|18935|2
991B4FCD8BE69F4E|KOUFU PTE LTD|103.852844804264|1.27737236043423|KOUFU PTE LTD|STRAITS VIEW|4/6|18935|2
991B4FCD624841DC|DINEZ|103.852844804264|1.27737236043423|ABUNDANCE COMMUNION PTE. LTD.|STRAITS VIEW|38|18935|B2
991B4FCD6F7297C2|COLD STORAGE|103.852844804264|1.27737236043423|COLD STORAGE SINGAPORE (1983) PTE LTD|STRAITS VIEW|15/16|18935|B2
991B4FCDD48093AD|STARBUCKS COFFEE|103.852844804264|1.27737236043423|STARBUCKS COFFEE SINGAPORE PTE. LTD.|STRAITS VIEW|8|18935|B2
991B4FCDAFA4C33C|HONEY MILL|103.852844804264|1.27737236043423|S&N INTERNATIONAL PTE. LTD.|STRAITS VIEW|22|18935|B2
991B4FCDBB296C55|PROVIDENCE|103.852844804264|1.27737236043423|PROVIDENCE SG PTE. LTD.|STRAITS VIEW|24|18935|B2
991B4FCDF5353180|NUTRITION DEPOT SINGAPORE|103.852844804264|1.27737236043423|NUTRITION DEPOT SINGAPORE PRIVATE LIMITED|STRAITS VIEW|17|18935|B2
991B4FCDF234609A|AH KHOO|103.852844804264|1.27737236043423|HANIS CAFE & BAKERY PTE. LTD.|STRAITS VIEW|43|18935|B2
991B4FCD98F5DF9B|PIZZAEXPRESS|103.852844804264|1.27737236043423|PIZZAEXPRESS SINGAPORE PTE. LIMITED|STRAITS VIEW|20/21|18935|1
991B4FCD5AD1402A|YA KUN KAYA TOAST|103.852844804264|1.27737236043423|YUDA PTE. LTD.|STRAITS VIEW|2|18935|B2
991B4FCD69794B8B|MOS BURGER|103.852844804264|1.27737236043423|MOS FOODS SINGAPORE PTE. LTD.|STRAITS VIEW|45|18935|B2
991B4FCDC0683DE5|JEWEL COFFEE|103.852844804264|1.27737236043423|TRIPLO PTE LTD|STRAITS VIEW|51|18935|B2
991B4FCD33413157|WHEAT|103.852844804264|1.27737236043423|WHEAT BAUMKUCHEN PTE. LTD.|STRAITS VIEW|33|18935|B2
991B4FCDF7B9DF7D|KRAFTWICH BY SWISSBAKE|103.852844804264|1.27737236043423|COMMONWEALTH RETAIL CONCEPTS PTE LTD|STRAITS VIEW|31|18935|B2
991B4FCD38B689C9|MAJESTIC RESTAURANT|103.852844804264|1.27737236043423|RESTAURANT MAJESTIC PTE. LTD.|STRAITS VIEW|1|18935|4
991B4FCD5B69BD72|KOPI & TARTS|103.852844804264|1.27737236043423|MAYSON BAKERY PTE LTD|STRAITS VIEW|39|18935|B2
991B4FCD79164898|HOCK KEE|103.852844804264|1.27737236043423|HOCK KEE F&B PTE. LTD.|STRAITS VIEW|4/6|18935|2
991B4FCD7C73C531|MELLOWER COFFEE|103.852844804264|1.27737236043423|MELLOWER COFFEE (SINGAPORE) PTE. LTD.|STRAITS VIEW|10|18935|B2
991B4FCDCABBCC81|KAZU SUSHI GRILL SAKE|103.852844804264|1.27737236043423|GEN JAPAN PTE. LTD.|STRAITS VIEW|14|18935|1
991B4FCD31317F9A|LEISURE GOODS COMPANY|103.852844804264|1.27737236043423|MLAB HOLDINGS PTE. LTD.|STRAITS VIEW|58|18935|B2
991B4FCD295CA7B3|ARCADE FISH SOUP|103.852844804264|1.27737236043423|ARCADE FISH SOUP PTE. LTD.|STRAITS VIEW|40|18935|B2
991B4FCDF662007F|HOCKHUA TONIC|103.852844804264|1.27737236043423|HOCKHUA - ENG HENG TRADING PTE. LTD.|STRAITS VIEW|63|18935|B2
991B4FCDC7261F65|BRU|103.852844804264|1.27737236043423|BRU CAFE PTE. LTD.|STRAITS VIEW|21|18935|B2
991B4FCD58149F54|WAA COW!|103.852844804264|1.27737236043423|KINTSUGI PTE. LTD.|STRAITS VIEW|9|18935|1
991B4FCD8FB6332D|7 ELEVEN|103.852844804264|1.27737236043423|COLD STORAGE SINGAPORE (1983) PTE LTD|STRAITS VIEW|28|18935|1
B2D1DD89E52FBEEF|MARMALADE TOAST|103.85285165874|1.27790634626008|KITCHEN LANGUAGE PTE. LTD.|STRAITS VIEW|0|18936|11
BF98E11B2E5130BF|FOOD ANATOMY|103.85600467745|1.28071924044437|MIX CONCOCTION PTE. LTD.|MARINA BOULEVARD|1|18940|1
357CCC1754FE5E13|SEMBAWANG EATING HOUSE (SEAFOOD RESTAURANT)|103.869885272487|1.28088411477952|seah siew eng|MARINA GARDENS DRIVE|5|18951|1
F8E1978B0DED77AA|SUPERTREE BY INDOCHINE|103.86115492566|1.28130189968886|INDOCHINE WATERFRONT PTE LTD|MARINA GARDENS DRIVE|1|18953|3
F8E1978B272B8AE5|SATAY BY THE BAY|103.86115492566|1.28130189968886|SATAY BY THE BAY PTE. LTD.|MARINA GARDENS DRIVE|19|18953|1
F8E1978BB9565535|MIXED VEGETABLE RICE|103.86115492566|1.28130189968886|MARINA LIVE SEAFOOD & STEAMBOAT PTE LTD|MARINA GARDENS DRIVE|19|18953|1
F8E1978B0668DB3F||103.86115492566|1.28130189968886|KHADIJAH RESTAURANT PTE. LTD.|MARINA GARDENS DRIVE|19|18953|1
F8E1978BDDB41842|BBQ SEAFOOD &SATAY|103.86115492566|1.28130189968886|BOON TAT CATERING & SUPPLY PTE. LTD.|MARINA GARDENS DRIVE|19|18953|1
F8E1978B76469F20|KIN AROY|103.86115492566|1.28130189968886|HONG KONG STREET OLD CHUN KEE PTE. LTD.|MARINA GARDENS DRIVE|19|18953|1
F8E1978B7958EA86|THAI BBQ|103.86115492566|1.28130189968886|HONG KONG STREET OLD CHUN KEE PTE. LTD.|MARINA GARDENS DRIVE|19|18953|1
F8E1978BB8FD2442||103.86115492566|1.28130189968886|ALBERT LAW SZE CHUAN|MARINA GARDENS DRIVE|19|18953|1
F8E1978BA4EBCCA8|SEAFOOD IN A POT|103.86115492566|1.28130189968886|SATAY BY THE BAY PTE. LTD.|MARINA GARDENS DRIVE|19|18953|1
F8E1978BA65C073C|CLAYPOT RICE & NOODLE STALL|103.86115492566|1.28130189968886|SATAY BY THE BAY PTE. LTD.|MARINA GARDENS DRIVE|19|18953|1
F8E1978B0948C458|CLAYPOT NOODLE|103.86115492566|1.28130189968886|MARINA LIVE SEAFOOD & STEAMBOAT PTE LTD|MARINA GARDENS DRIVE|19|18953|1
F8E1978B12F980D2|MARINA LIVE SEAFOOD & STEAMBOAT|103.86115492566|1.28130189968886|MARINA LIVE SEAFOOD & STEAMBOAT PTE LTD|MARINA GARDENS DRIVE|19|18953|1
F8E1978BAA3D11E5|SATAY BY THE BAY|103.86115492566|1.28130189968886|SATAY BY THE BAY PTE. LTD.|MARINA GARDENS DRIVE|19|18953|1
F8E1978BE6F0265A|LIVE SEAFOOD & STEAMBOAT|103.86115492566|1.28130189968886|MARINA LIVE SEAFOOD & STEAMBOAT PTE LTD|MARINA GARDENS DRIVE|19|18953|1
F8E1978B3B369FCD|BAYFRONT STEAMBOAT|103.86115492566|1.28130189968886|BAYFRONT PTE. LTD.|MARINA GARDENS DRIVE||18953|
F8E1978BB47C0F06|26@MARINA BAR & BISTRO|103.86115492566|1.28130189968886|26@MARINA BAR & BISTRO PTE LTD|MARINA GARDENS DRIVE|19|18953|1
F8E1978BC1A6F54A|ORIENTAL WESTERN BISTRO|103.86115492566|1.28130189968886|HATS OFF PTE. LTD.|MARINA GARDENS DRIVE|4|18953|1
F8E1978BF92E3B52|BAY LEAF (INDIAN CURRY HOUSE)|103.86115492566|1.28130189968886|GABRIEL SANTHOSH CYRIL|MARINA GARDENS DRIVE|3|18953|1
F8E1978B27BD08F7|Makan By The Bay Seafood|103.86115492566|1.28130189968886|MAKAN BY THE BAY PTE LTD|MARINA GARDENS DRIVE|19|18953|1
